Channel,Elevation,Azimuth
1,14.985,0.186
2,13.283,0.185
3,11.758,1.335
4,10.483,1.343
5,9.836,0.148
6,9.171,0.147
7,8.496,0.146
8,7.812,0.146
9,7.462,1.335
10,7.115,1.336
11,6.767,1.337
12,6.416,1.338
13,6.064,1.339
14,5.71,1.34
15,5.355,1.341
16,4.998,1.342
17,4.643,0.128
18,4.282,0.128
19,3.921,0.127
20,3.558,0.127
21,3.194,0.107
22,2.829,0.106
23,2.463,0.105
24,2.095,0.105
25,1.974,-3.118
26,1.854,1.315
27,1.729,4.529
28,1.609,-3.121
29,1.487,1.316
30,1.362,4.532
31,1.242,-3.124
32,1.12,1.317
33,0.995,4.536
34,0.875,-3.127
35,0.75,1.317
36,0.625,4.539
37,0.5,-3.13
38,0.375,1.318
39,0.25,4.542
40,0.125,-3.133
41,0,0.103
42,-0.125,2.935
43,-0.25,-1.517
44,-0.375,0.103
45,-0.5,2.937
46,-0.626,-1.519
47,-0.751,0.103
48,-0.876,2.939
49,-1.001,-1.52
50,-1.126,0.103
51,-1.251,2.941
52,-1.377,-1.521
53,-1.502,0.102
54,-1.627,2.943
55,-1.751,-1.523
56,-1.876,0.102
57,-2.001,2.945
58,-2.126,-1.524
59,-2.251,0.102
60,-2.376,2.946
61,-2.501,-1.526
62,-2.626,0.102
63,-2.751,2.948
64,-2.876,-1.526
65,-3.001,1.324
66,-3.126,4.57
67,-3.251,-3.155
68,-3.376,1.325
69,-3.501,4.573
70,-3.626,-3.157
71,-3.751,1.326
72,-3.876,4.575
73,-4.001,-3.159
74,-4.126,1.326
75,-4.25,4.578
76,-4.375,-3.161
77,-4.501,1.327
78,-4.626,4.581
79,-4.751,-3.163
80,-4.876,1.328
81,-5.001,4.583
82,-5.126,-3.165
83,-5.252,1.329
84,-5.377,4.586
85,-5.502,-3.167
86,-5.626,1.329
87,-5.752,4.588
88,-5.877,-3.168
89,-6.002,0.102
90,-6.378,0.103
91,-6.754,0.103
92,-7.13,0.103
93,-7.507,0.104
94,-7.882,0.104
95,-8.257,0.104
96,-8.632,0.104
97,-9.003,1.337
98,-9.376,1.337
99,-9.749,1.338
100,-10.121,1.339
101,-10.493,1.34
102,-10.864,1.341
103,-11.234,1.341
104,-11.603,1.342
105,-11.975,0.108
106,-12.343,0.108
107,-12.709,0.109
108,-13.075,0.109
109,-13.439,0.13
110,-13.803,0.131
111,-14.164,0.131
112,-14.525,0.132
113,-14.879,1.384
114,-15.237,1.384
115,-15.593,1.385
116,-15.948,1.385
117,-16.299,1.386
118,-16.651,1.386
119,-17,1.387
120,-17.347,1.387
121,-17.701,0.151
122,-18.386,0.153
123,-19.063,0.154
124,-19.73,0.156
125,-20.376,1.388
126,-21.653,1.408
127,-23.044,0.196
128,-24.765,0.286
