2.85,distance>=A1,distance<A1,distance>=A1,distance<A1,distance>=A1,distance<A1,distance>=A1,distance<A1,distance>=A1,distance<A1,distance>=A1,distance<A1,distance>=A1,distance<A1,distance>=A1,distance<A1
operation mode,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,3
angle state,0,0,1,1,2,2,3,3,0,0,1,1,0,0,1,1
1,4436,5201,0,0,4436,4436,0,0,4436,5201,4436,4436,4436,5201,4436,4436
2,0,0,776,776,0,0,776,776,28554,28554,28554,28554,28554,28554,28554,28554
3,776,1541,0,0,776,776,0,0,776,1541,776,776,776,1541,776,776
4,2431,2431,0,0,2781,2781,0,0,2431,2431,2781,2781,2431,2431,2781,2781
5,4436,4436,0,0,4436,4436,0,0,4436,4436,4436,4436,4436,4436,4436,4436
6,0,0,2781,4026,0,0,2431,2431,30559,31804,30209,30209,30559,31804,30209,30209
7,6441,6441,0,0,6091,6091,0,0,6441,6441,6091,6091,6441,6441,6091,6091
8,0,0,4786,4786,0,0,4086,4086,32564,32564,31864,31864,32564,32564,31864,31864
9,0,0,6441,7206,0,0,6091,6091,34219,34984,33869,33869,34219,34984,33869,33869
10,776,776,0,0,776,776,0,0,776,776,776,776,776,776,776,776
11,2431,2431,0,0,2781,2781,0,0,2431,2431,2781,2781,2431,2431,2781,2781
12,6441,6441,0,0,6091,7336,0,0,6441,6441,6091,7336,6441,6441,6091,7336
13,0,0,776,776,0,0,776,776,28554,28554,28554,28554,28554,28554,28554,28554
14,0,0,6441,6441,0,0,6091,6091,34219,34219,33869,33869,34219,34219,33869,33869
15,0,0,2781,3546,0,0,2431,2431,30559,31324,30209,30209,30559,31324,30209,30209
16,0,0,776,776,0,0,776,776,28554,28554,28554,28554,28554,28554,28554,28554
17,0,0,4786,4786,0,0,4086,4086,32564,32564,31864,31864,32564,32564,31864,31864
18,6441,7206,0,0,6091,6091,0,0,6441,7206,6091,6091,6441,7206,6091,6091
19,0,0,4786,4786,0,0,4086,4086,32564,32564,31864,31864,32564,32564,31864,31864
20,776,776,0,0,776,776,0,0,776,776,776,776,776,776,776,776
21,2431,3196,0,0,2781,2781,0,0,2431,3196,2781,2781,2431,3196,2781,2781
22,0,0,2781,2781,0,0,2431,2431,30559,30559,30209,30209,30559,30559,30209,30209
23,0,0,6441,6441,0,0,6091,6091,34219,34219,33869,33869,34219,34219,33869,33869
24,0,0,4786,4786,0,0,4086,4851,32564,32564,31864,32629,32564,32564,31864,32629
25,4436,4436,0,0,4436,4436,0,0,4436,4436,4436,4436,4436,4436,4436,4436
26,10381,10381,10731,12126,10381,10381,10031,10031,38509,39904,37809,37809,38509,39904,37809,37809
27,14951,14951,15301,15301,14951,14951,14601,14601,43079,43079,42379,42379,43079,43079,42379,42379
28,12666,12666,13016,13016,12666,12666,12316,12316,12666,12666,12666,12666,12666,12666,12666,12666
29,14951,14951,15301,15301,14951,14951,14601,14601,43079,43079,42379,42379,43079,43079,42379,42379
30,19521,19521,19871,19871,19521,19521,19171,19171,19521,19521,19521,19521,19521,19521,19521,19521
31,19521,19521,19871,19871,19521,19521,19171,19171,19521,19521,19521,19521,19521,19521,19521,19521
32,8096,8096,8446,8446,8096,8096,7746,7746,36224,36224,35524,35524,36224,36224,35524,35524
33,12666,12666,13016,13016,12666,14061,12316,12316,12666,12666,12666,14061,12666,12666,12666,14061
34,12666,12666,13016,13016,12666,12666,12316,12316,12666,12666,12666,12666,12666,12666,12666,12666
35,10381,10381,10731,10731,10381,10381,10031,10031,38509,38509,37809,37809,38509,38509,37809,37809
36,24091,24091,24441,24441,24091,24091,23741,23741,52219,52219,51519,51519,52219,52219,51519,51519
37,17236,17236,17586,17586,17236,17236,16886,16886,17236,17236,17236,17236,17236,17236,17236,17236
38,24091,24091,24441,24441,24091,24091,23741,23741,52219,52219,51519,51519,52219,52219,51519,51519
39,14951,14951,15301,15301,14951,14951,14601,14601,43079,43079,42379,42379,43079,43079,42379,42379
40,14951,27056,15301,15301,14951,14951,14601,14601,43079,27056,42379,42379,43079,27056,42379,42379
41,19521,19521,19871,19871,19521,19521,19171,19171,19521,19521,19521,19521,19521,19521,19521,19521
42,17236,17236,17586,17586,17236,17236,16886,16886,17236,17236,17236,17236,17236,17236,17236,17236
43,12666,12666,13016,13016,12666,12666,12316,12316,12666,12666,12666,12666,12666,12666,12666,12666
44,21806,21806,22156,22156,21806,21806,21456,21456,21806,21806,21806,21806,21806,21806,21806,21806
45,8096,8096,8446,8446,8096,8096,7746,7746,36224,36224,35524,35524,36224,36224,35524,35524
46,21806,21806,22156,22156,21806,21806,21456,21456,21806,21806,21806,21806,21806,21806,21806,21806
47,10381,10381,10731,27406,10381,10381,10031,10031,38509,55184,37809,37809,38509,55184,37809,37809
48,10381,10381,10731,10731,10381,10381,10031,10031,38509,38509,37809,37809,38509,38509,37809,37809
49,21806,21806,22156,22156,21806,21806,21456,21456,21806,21806,21806,21806,21806,21806,21806,21806
50,8096,8096,8446,8446,8096,8096,7746,7746,36224,36224,35524,35524,36224,36224,35524,35524
51,8096,8096,8446,8446,8096,8096,7746,7746,36224,36224,35524,35524,36224,36224,35524,35524
52,19521,19521,19871,19871,19521,19521,19171,19171,19521,19521,19521,19521,19521,19521,19521,19521
53,12666,12666,13016,13016,12666,12666,12316,12316,12666,12666,12666,12666,12666,12666,12666,12666
54,12666,12666,13016,13016,12666,27056,12316,12316,12666,12666,12666,27056,12666,12666,12666,27056
55,24091,24091,24441,24441,24091,24091,23741,23741,52219,52219,51519,51519,52219,52219,51519,51519
56,24091,24091,24441,24441,24091,24091,23741,23741,52219,52219,51519,51519,52219,52219,51519,51519
57,17236,17236,17586,17586,17236,17236,16886,16886,17236,17236,17236,17236,17236,17236,17236,17236
58,21806,21806,22156,22156,21806,21806,21456,21456,21806,21806,21806,21806,21806,21806,21806,21806
59,17236,17236,17586,17586,17236,17236,16886,16886,17236,17236,17236,17236,17236,17236,17236,17236
60,14951,14951,15301,15301,14951,14951,14601,14601,43079,43079,42379,42379,43079,43079,42379,42379
61,10381,10381,10731,10731,10381,10381,10031,26706,38509,38509,37809,54484,38509,38509,37809,54484
62,14951,14951,15301,15301,14951,14951,14601,14601,43079,43079,42379,42379,43079,43079,42379,42379
63,17236,17236,17586,17586,17236,17236,16886,16886,17236,17236,17236,17236,17236,17236,17236,17236
64,17236,17236,17586,17586,17236,17236,16886,16886,17236,17236,17236,17236,17236,17236,17236,17236
65,8096,8096,8446,8446,8096,8096,7746,7746,36224,36224,35524,35524,36224,36224,35524,35524
66,19521,19521,19871,19871,19521,19521,19171,19171,19521,19521,19521,19521,19521,19521,19521,19521
67,19521,19521,19871,19871,19521,19521,19171,19171,19521,19521,19521,19521,19521,19521,19521,19521
68,10381,10381,10731,10731,10381,10381,10031,11426,38509,38509,37809,39204,38509,38509,37809,39204
69,24091,24091,24441,24441,24091,24091,23741,23741,52219,52219,51519,51519,52219,52219,51519,51519
70,10381,10381,10731,10731,10381,10381,10031,10031,38509,38509,37809,37809,38509,38509,37809,37809
71,21806,21806,22156,22156,21806,21806,21456,21456,21806,21806,21806,21806,21806,21806,21806,21806
72,12666,12666,13016,13016,12666,12666,12316,12316,12666,12666,12666,12666,12666,12666,12666,12666
73,10381,10381,10731,10731,10381,10381,10031,10031,38509,38509,37809,37809,38509,38509,37809,37809
74,14951,14951,15301,15301,14951,14951,14601,14601,43079,43079,42379,42379,43079,43079,42379,42379
75,21806,23201,22156,22156,21806,21806,21456,21456,21806,23201,21806,21806,21806,23201,21806,21806
76,8096,8096,8446,8446,8096,8096,7746,7746,36224,36224,35524,35524,36224,36224,35524,35524
77,19521,19521,19871,19871,19521,19521,19171,19171,19521,19521,19521,19521,19521,19521,19521,19521
78,17236,17236,17586,17586,17236,17236,16886,16886,17236,17236,17236,17236,17236,17236,17236,17236
79,8096,8096,8446,8446,8096,8096,7746,7746,36224,36224,35524,35524,36224,36224,35524,35524
80,19521,19521,19871,19871,19521,19521,19171,19171,19521,19521,19521,19521,19521,19521,19521,19521
81,24091,24091,24441,24441,24091,24091,23741,23741,52219,52219,51519,51519,52219,52219,51519,51519
82,24091,24091,24441,24441,24091,24091,23741,25136,52219,52219,51519,52914,52219,52219,51519,52914
83,24091,24091,24441,24441,24091,24091,23741,23741,52219,52219,51519,51519,52219,52219,51519,51519
84,17236,17236,17586,17586,17236,17236,16886,16886,17236,17236,17236,17236,17236,17236,17236,17236
85,21806,21806,22156,22156,21806,21806,21456,21456,21806,21806,21806,21806,21806,21806,21806,21806
86,8096,8096,8446,8446,8096,8096,7746,7746,36224,36224,35524,35524,36224,36224,35524,35524
87,12666,12666,13016,13016,12666,12666,12316,12316,12666,12666,12666,12666,12666,12666,12666,12666
88,21806,21806,22156,22156,21806,21806,21456,21456,21806,21806,21806,21806,21806,21806,21806,21806
89,14951,14951,15301,15301,14951,14951,14601,14601,43079,43079,42379,42379,43079,43079,42379,42379
90,2431,3676,0,0,2781,2781,0,0,2431,3676,2781,2781,2431,3676,2781,2781
91,776,776,0,0,776,776,0,0,776,776,776,776,776,776,776,776
92,4436,4436,0,0,4436,4436,0,0,4436,4436,4436,4436,4436,4436,4436,4436
93,6441,6441,0,0,6091,6856,0,0,6441,6441,6091,6856,6441,6441,6091,6856
94,0,0,6441,6441,0,0,6091,6091,34219,34219,33869,33869,34219,34219,33869,33869
95,0,0,2781,2781,0,0,2431,2431,30559,30559,30209,30209,30559,30559,30209,30209
96,776,776,0,0,776,2021,0,0,776,776,776,2021,776,776,776,2021
97,0,0,776,776,0,0,776,776,28554,28554,28554,28554,28554,28554,28554,28554
98,2431,2431,0,0,2781,2781,0,0,2431,2431,2781,2781,2431,2431,2781,2781
99,2431,2431,0,0,2781,3546,0,0,2431,2431,2781,3546,2431,2431,2781,3546
100,4436,4436,0,0,4436,4436,0,0,4436,4436,4436,4436,4436,4436,4436,4436
101,0,0,4786,4786,0,0,4086,4086,32564,32564,31864,31864,32564,32564,31864,31864
102,0,0,776,2021,0,0,776,776,28554,29799,28554,28554,28554,29799,28554,28554
103,0,0,2781,2781,0,0,2431,2431,30559,30559,30209,30209,30559,30559,30209,30209
104,6441,6441,0,0,6091,6091,0,0,6441,6441,6091,6091,6441,6441,6091,6091
105,4436,5681,0,0,4436,4436,0,0,4436,5681,4436,4436,4436,5681,4436,4436
106,0,0,2781,2781,0,0,2431,2431,30559,30559,30209,30209,30559,30559,30209,30209
107,0,0,776,776,0,0,776,776,28554,28554,28554,28554,28554,28554,28554,28554
108,0,0,4786,4786,0,0,4086,5331,32564,32564,31864,33109,32564,32564,31864,33109
109,6441,6441,0,0,6091,6091,0,0,6441,6441,6091,6091,6441,6441,6091,6091
110,0,0,6441,6441,0,0,6091,6091,34219,34219,33869,33869,34219,34219,33869,33869
111,0,0,6441,7686,0,0,6091,6091,34219,35464,33869,33869,34219,35464,33869,33869
112,0,0,4786,4786,0,0,4086,4086,32564,32564,31864,31864,32564,32564,31864,31864
113,776,776,0,0,776,776,0,0,776,776,776,776,776,776,776,776
114,4436,4436,0,0,4436,5201,0,0,4436,4436,4436,5201,4436,4436,4436,5201
115,0,0,4786,4786,0,0,4086,4086,32564,32564,31864,31864,32564,32564,31864,31864
116,2431,2431,0,0,2781,2781,0,0,2431,2431,2781,2781,2431,2431,2781,2781
117,0,0,2781,2781,0,0,2431,3196,30559,30559,30209,30974,30559,30559,30209,30974
118,0,0,6441,6441,0,0,6091,6091,34219,34219,33869,33869,34219,34219,33869,33869
119,776,776,0,0,776,776,0,0,776,776,776,776,776,776,776,776
120,0,0,776,1541,0,0,776,776,28554,29319,28554,28554,28554,29319,28554,28554
121,4436,4436,0,0,4436,4436,0,0,4436,4436,4436,4436,4436,4436,4436,4436
122,6441,6441,0,0,6091,6091,0,0,6441,6441,6091,6091,6441,6441,6091,6091
123,0,0,6441,6441,0,0,6091,6856,34219,34219,33869,34634,34219,34219,33869,34634
124,0,0,2781,2781,0,0,2431,2431,30559,30559,30209,30209,30559,30559,30209,30209
125,2431,2431,0,0,2781,2781,0,0,2431,2431,2781,2781,2431,2431,2781,2781
126,776,776,0,0,776,1541,0,0,776,776,776,1541,776,776,776,1541
127,6441,6441,0,0,6091,6091,0,0,6441,6441,6091,6091,6441,6441,6091,6091
128,0,0,776,776,0,0,776,1541,28554,28554,28554,29319,28554,28554,28554,29319
