EEFF,1,1,
Horizontal Resolution Mode,1,LoopNum,2
Loop1,Firetime1,Loop2,Firetime2
99,0.6,65,0.6
65,1.456,99,1.456
35,2.312,1,2.312
102,3.768,72,3.768
72,4.624,102,4.624
38,5.48,8,5.48
107,6.936,73,6.936
73,7.792,107,7.792
43,8.648,9,8.648
110,10.104,80,10.104
80,10.96,110,10.96
46,11.816,16,11.816
115,13.272,81,13.272
81,14.128,115,14.128
51,14.984,17,14.984
118,16.44,88,16.44
88,17.296,118,17.296
54,18.152,24,18.152
123,19.608,89,19.608
89,20.464,123,20.464
59,21.32,25,21.32
126,22.776,96,22.776
96,23.632,126,23.632
62,24.488,32,24.488
97,25.944,67,25.944
67,26.8,97,26.8
33,27.656,3,27.656
104,29.112,70,29.112
70,29.968,104,29.968
40,30.824,6,30.824
105,32.28,75,32.28
75,33.136,105,33.136
41,33.992,11,33.992
112,35.448,78,35.448
78,36.304,112,36.304
48,37.16,14,37.16
113,38.616,83,38.616
83,39.472,113,39.472
49,40.328,19,40.328
120,41.784,86,41.784
86,42.64,120,42.64
56,43.496,22,43.496
121,44.952,91,44.952
91,45.808,121,45.808
57,46.664,27,46.664
128,48.12,94,48.12
94,48.976,128,48.976
64,49.832,30,49.832
98,51.288,68,51.288
68,52.144,98,52.144
34,53,4,53
103,54.456,69,54.456
69,55.312,103,55.312
39,56.168,5,56.168
106,57.624,76,57.624
76,58.48,106,58.48
42,59.336,12,59.336
111,60.792,77,60.792
77,61.648,111,61.648
47,62.504,13,62.504
114,63.96,84,63.96
84,64.816,114,64.816
50,65.672,20,65.672
119,67.128,85,67.128
85,67.984,119,67.984
55,68.84,21,68.84
122,70.296,92,70.296
92,71.152,122,71.152
58,72.008,28,72.008
127,73.464,93,73.464
93,74.32,127,74.32
63,75.176,29,75.176
100,76.632,66,76.632
66,77.488,100,77.488
36,78.344,2,78.344
101,79.8,71,79.8
71,80.656,101,80.656
37,81.512,7,81.512
108,82.968,74,82.968
74,83.824,108,83.824
44,84.68,10,84.68
109,86.136,79,86.136
79,86.992,109,86.992
45,87.848,15,87.848
116,89.304,82,89.304
82,90.16,116,90.16
52,91.016,18,91.016
117,92.472,87,92.472
87,93.328,117,93.328
53,94.184,23,94.184
124,95.64,90,95.64
90,96.496,124,96.496
60,97.352,26,97.352
125,98.808,95,98.808
95,99.664,125,99.664
61,100.52,31,100.52
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
